payment_id,loan_id,payment_date,amount,days_late
1001,101,2025-02-15,500,0
1002,101,2025-03-18,500,3
1003,102,2025-01-10,700,0
1004,102,2025-02-10,700,0
1005,103,2024-06-20,400,15
1006,103,2024-07-30,400,25
1007,104,2025-03-05,900,0
1008,105,2025-04-10,300,12
1009,105,2025-05-18,300,18
1010,106,2025-07-10,250,0
1011,107,2025-01-12,1100,0
1012,107,2025-02-12,1100,0
1013,108,2025-02-22,450,4
1014,108,2025-03-25,450,3
1015,109,2024-08-17,800,21
1016,109,2024-09-24,800,28
1017,110,2025-05-09,650,0
1018,110,2025-06-09,650,0
1019,111,2025-06-10,220,14
1020,111,2025-07-15,220,19
1021,112,2025-03-14,350,17
1022,112,2025-04-20,350,22
1023,113,2025-07-21,280,2
1024,114,2025-02-11,500,7
1025,114,2025-03-15,500,9
